feature,f_score,p_value
tqwt_entropy_shannon_dec_9,33.07114206912991,1.4149894462209857e-08
app_entropy_log_1_coef,33.06429611804811,1.4197193104864899e-08
tqwt_entropy_log_dec_10,33.013403618883544,1.4553825988774815e-08
tqwt_entropy_log_dec_18,32.902287286699064,1.5364083884393547e-08
mean_MFCC_3rd_coef,32.83180767120523,1.5901362693710194e-08
tqwt_entropy_shannon_dec_10,32.43752725803097,1.927480028734419e-08
app_LT_entropy_log_5_coef,31.916144637012483,2.4865817206270367e-08
tqwt_maxValue_dec_8,31.91398540274211,2.489207583417624e-08
tqwt_entropy_shannon_dec_7,31.704632194875686,2.7575009019956483e-08
tqwt_entropy_shannon_dec_8,31.41388944565048,3.178999290623295e-08
tqwt_minValue_dec_8,31.21698889999328,3.50067201578881e-08
locPctJitter,31.190623020639816,3.546160148357772e-08
std_Log_energy,30.884055734674426,4.120778904111148e-08
maxIntensity,30.832412613359825,4.226404632953181e-08
std_MFCC_11th_coef,30.353305319969426,5.34579565206997e-08
tqwt_stdValue_dec_17,30.295351593173827,5.500013970867195e-08
app_LT_TKEO_mean_2_coef,30.162467746228526,5.8707232660047227e-08
tqwt_stdValue_dec_34,29.302824619503653,8.957358252357704e-08
tqwt_meanValue_dec_36,29.187439380320015,9.480679973127398e-08
tqwt_entropy_shannon_dec_35,29.176339285210556,9.532616719127718e-08
tqwt_entropy_log_dec_5,29.136540113606987,9.721197452268608e-08
tqwt_entropy_shannon_dec_34,28.80819405550088,1.1427257988071318e-07
tqwt_kurtosisValue_dec_34,28.732593458577973,1.1860937649226882e-07
tqwt_maxValue_dec_9,28.550196775749832,1.29766158041438e-07
locAbsJitter,28.295280524496782,1.4714936037142495e-07
tqwt_minValue_dec_9,27.865110909828477,1.819593792607007e-07
tqwt_TKEO_mean_dec_9,27.716453677493526,1.9582451783377944e-07
std_MFCC_10th_coef,27.581217906446383,2.0935888696453637e-07
tqwt_kurtosisValue_dec_18,27.532316671952707,2.144811922187329e-07
tqwt_TKEO_std_dec_10,27.455423861717644,2.2279164944857936e-07
ppq5Jitter,27.324437597567666,2.3770099458380975e-07
